produto;desconto;preco
Sandália Midi Coração Couro Italiano Fucsia;R$ 231,84;R$ 289,80
Sandália Midi Coração Couro Parafinado Caramelo;R$ 231,84;R$ 289,80
Sandália Midi Wonder Vegan New Mest Off White;R$ 188,37;R$ 289,80
Sandália Princess Wonder Couro Italiano Branco;R$ 188,37;R$ 289,80
Sandália Dance Coração Couro Italiano Candy Rosa;R$ 231,84;R$ 289,80
Sandália Dance Coração Couro Italiano Sorbet;R$ 231,84;R$ 289,80
Sandália Princess Papillon Vegan Gliter e New Mest Rosa;R$ 155,88;R$ 259,80
Sandália Princess Papillon Vegan Gliter e Metal Prata;R$ 255,84;R$ 319,80
Sandália Mori Tramê Rasteira Couro Floater Preto;R$ 179,88;R$ 299,80
Sandália Rasteira Mori Tramê Couro Caseína Candy Rosa;R$ 179,88;R$ 299,80
Sandália Mori Tramê Rasteira Couro Parafinado Caramelo;R$ 239,84;R$ 299,80
Sandália Rasteira Mori Tramê Couro Est Café;R$ 239,84;R$ 299,80
Sandália Rasteira Mori Tramê Couro Arizona Ambar;R$ 179,88;R$ 299,80
Sandália Média Bessie Couro Arizona Preto;R$ 194,87;R$ 299,80
Sandália Villain Lori Couro Italiano Fucsia;R$ 194,87;R$ 299,80
Sandália Villain Lori Couro Italiano Scarlet;R$ 194,87;R$ 299,80
Sandália Villain Boop Flor Couro Arizona Rosa Quartzo;R$ 247,84;R$ 309,80
Sandália Villain Boop Flor Couro Off White;R$ 194,87;R$ 299,80
Sandália Meia Pata Boop Bloom Couro Italiano Branco com Off White;R$ 194,87;R$ 299,80
Sandália Princess Boop Flor Couro Arizona Preto;R$ 231,84;R$ 289,80
Sandália Meia Pata Borbo Vegan Mix Prata;R$ 215,84;R$ 269,80
Sandália Villain Borbo Vegan Verniz Preto;R$ 215,84;R$ 269,80
Sandália Princess Borbo Vegan Mix Ouro;R$ 207,84;R$ 259,80
Sandália Dance Borbo Vegan Reflexo Rosa;R$ 207,84;R$ 259,80
Sandália Meia Pata Lori Vegan Verniz Preto;R$ 185,88;R$ 309,80
Sandália Meia Pata Lori Couro Italiano Branco;R$ 185,88;R$ 309,80
Sandália Meia Pata Lori Couro Caseína Scarlet;R$ 185,88;R$ 309,80
Sandália Midi Lori Couro Italiano Preto;R$ 173,88;R$ 289,80
Sandália Midi Lori Couro Italiano Branco;R$ 173,88;R$ 289,80
Sandália Midi Lori Couro Arizona Linhaça;R$ 173,88;R$ 289,80
Sapato para analise de nulos 1;;R$ 67,00
Sapato para analise de nulos 2;R$ 98,00;
Sapato para analise de nulos 3;;
Sapato para analise de nulos 4;R$ 567,00;
Sapato para analise de nulos 5;R$ 567,00;R$ 45,00
Teste duplicatas;R$ 100,00;R$ 100,00
Teste duplicatas;R$ 100,00;R$ 100,00
Teste duplicatas;R$ 100,00;R$ 100,00
Teste duplicatas;R$ 100,00;R$ 100,00
Teste duplicatas;R$ 100,00;R$ 100,00
Outliers 1;R$ 401,00;R$ 501,00
Outliers 2;R$ 19,00;R$ 50,00
Outliers 3;R$ 256,00;R$ 87,00
Outliers 4;R$ 78,00;R$ 998,00
Outliers 5;R$ 647,00;R$ 345,00
Outliers 6;R$ 99,00;R$ 15,00
Outliers 7;R$ 11,00;R$ 249,00
